bgg_id,name,year,game_type,designer,artist,publisher,min_players,max_players,min_players_rec,max_players_rec,min_players_best,max_players_best,min_age,min_age_rec,min_time,max_time,category,mechanic,cooperative,compilation,compilation_of,family,implementation,integration,rank,num_votes,avg_rating,stddev_rating,bayes_rating,complexity,language_dependency,bga_id,dbpedia_id,luding_id,spielen_id,wikidata_id,wikipedia_id
,Adventures in Flesh,1983,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Adventures_in_Flesh,,,,Adventures_in_Flesh
,Adventures in Middle-earth,2016,,,,Cubicle 7,,,,,,,,,,,,,,,,,,,,,,,,,,,Adventures_in_Middle-earth,,,,Adventures_in_Middle-earth
,AeroTech,1986,,"Jordan Weisman,L. Ross Babcock III",,"FASA,Fantasy Productions,Catalyst Game Labs,FASA Corporation",2,,,,,,,,,,,,,,,,,,,,,,,,,,AeroTech,,,Q4688103,AeroTech
,Aerobiz,,,,,"Koei,كوي تيكمو,كويي,Koei Tecmo,KOEI,Koei Tecmo Holdings,コーエー,コーエーテクモホールディングス,코에이,코에이 테크모,Koei (företag),光荣,光荣特库摩",,,,,,,,,,,,,,,,,,,,,,,,,,,Aerobiz,,,Q2526874,Aerobiz
,Aerobiz Supersonic,,,,,"Koei,كوي تيكمو,كويي,Koei Tecmo,KOEI,Koei Tecmo Holdings,コーエー,コーエーテクモホールディングス,코에이,코에이 테크모,Koei (företag),光荣,光荣特库摩",,,,,,,,,,,,,,,,,,,,,,,,,,,Aerobiz_Supersonic,,,Q609155,Aerobiz_Supersonic
,Aeronautica Imperialis,2007,,"Games Workshop,ゲームズワークショップ,게임 워크숍",,"Games Workshop,ゲームズワークショップ,게임 워크숍",2,,,,,,,,,,,,,,,,,,,,,,,,,,Aeronautica_Imperialis,,,Q977927,Aeronautica_Imperialis
,Aeroplane chess,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,Aeroplane_chess,,,Q4688395,Aeroplane_chess
,Afrika Korps (game),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Afrika_Korps_(game),,,Q4690114,Afrika_Korps_(game)
,Afrikan tähti,,,Kari Mannerla,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,Afrikan_tähti,,,Q284357,Afrikan_tähti
,After Midnight (adventure),,,,,"TSR, Inc.,Tactical Studies Rules,TSR (entreprise),TSR (ゲーム出版社),TSR (公司)",,,,,,,,,,,,,,,,,,,,,,,,,,,After_Midnight_(adventure),,,,After_Midnight_(adventure)
,After the Bomb (game),1986,,Erick Wujcik,,"Palladium Books,باليديام بوكس",,,,,,,,,,,,,,,,,,,,,,,,,,,After_the_Bomb_(game),,,Q2826313,After_the_Bomb_(game)
,Afterlife (video game),,,"Michael Stemmle,Стеммль, Майкл,麥克·施特姆勒",,"LucasArts,لوكاس آرتز,Lucasfilm Games,ルーカスアーツ,루카스아츠,Lucasarts,卢卡斯艺术",,,,,,,,,,,,,,,,,,,,,,,,,,,Afterlife_(video_game),,,Q389215,Afterlife_(video_game)
,Aftermath!,1981,,"Paul Hume (game designer),Robert N. Charrette",,Fantasy Games Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,Aftermath!,,,Q727958,Aftermath!
,Age of Mythology: The Boardgame,2003,,,,"Eagle Games,이글 게임스",4,,,,,,,,,,,,,,,,,,,,,,,,,,Age_of_Mythology:_The_Boardgame,,,Q4691896,Age_of_Mythology:_The_Boardgame
8490,Age of Napoleon (board game),2003,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,Age_of_Napoleon_(board_game),,,,Age_of_Napoleon_(board_game)
,Age of Renaissance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Age_of_Renaissance,,,Q4691903,Age_of_Renaissance
,Age of Steam (game),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Age_of_Steam_(game),,,Q4691914,Age_of_Steam_(game)
,Aggravation (board game),,,,,"Winning Moves,Parker Brothers,Parker (éditeur),パーカー・ブラザーズ,파커 브라더스",2,,,,,,,,,,,,,,,,,,,,,,,,,,Aggravation_(board_game),,,Q4692235,Aggravation_(board_game)
,Agnes (card game),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agnes_(card_game),,,Q4692997,Agnes_(card_game)
,Agon (game),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agon_(game),,,Q4693335,Agon_(game)
,Agram (card game),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agram_(card_game),,,Q4693730,Agram_(card_game)
,Agricola (board game),,,"Uwe Rosenberg,أوفي روزنبرغ,ウヴェ・ローゼンベルク",,"Mayfair Games,Z-Man Games,Lookout Games",1,,,,,,12,,,,,,,,,,,,,,,,,,,,Agricola_(board_game),,,Q396644,Agricola_(board_game)
,Aikatsu!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aikatsu!,,,Q729857,Aikatsu!
,Air Assault on Crete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air_Assault_on_Crete,,,Q4697738,Air_Assault_on_Crete
,Air Baron,,,,,,2,,,,,,10,,,,,,,,,,,,,,,,,,,,Air_Baron,,,Q4697754,Air_Baron
,Air Bucks,,,,,"Sierra Entertainment,سييرا إنترتينمنت,シエラエンターテインメント,시에라 엔터테인먼트,雪乐山",,,,,,,,,,,,,,,,,,,,,,,,,,,Air_Bucks,,,Q4697769,Air_Bucks
,Air Charter (game),,,,,Waddingtons,2,,,,,,,,,,,,,,,,,,,,,,,,,,Air_Charter_(game),,,Q4697793,Air_Charter_(game)
,Air hockey,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,Air_hockey,,,Q165302,Air_hockey
,Air wargaming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air_wargaming,,,Q4698396,Air_wargaming
,Airline Tycoon,,,Armin Gessert,,"MacOS,Magnussoft ZETA,Monte Cristo (company),RuneSoft,Android (operating system),Atari SA,Spellbound Entertainment,IOS,ماك أو إس,أنظمة تشغيل ماكينتوش,Mac OS (Apple),Macintosh OS Λειτουργικό,Mac OS,MacOS X,Sistem operasi Macintosh,맥 OS,Mac OS Classic,麦金塔操作系统,ZETA,Zeta (sistema operativo),YellowTAB Zeta,Zeta (sistema operacional),Zeta (operativsystem),Zeta (операционная система),مونتي كريستو,Monte Cristo (Unternehmen),Monte Cristo (entreprise),Monte Cristo Multimedia,Monte Cristo (azienda),Monte Cristo (bedrijf),Monte Cristo (przedsiębiorstwo),Monte Cristo,Monte Cristo (företag),基督山遊戲,أندرويد (نظام تشغيل),Android,Android (operační systém),Android (Betriebssystem),Android (sistem operasi),Android (オペレーティングシステム),안드로이드 (운영 체제),Android (besturingssysteem),Android (system operacyjny),Android (operativsystem),أتاري إس إيه,아타리 SA,Atari (francuskie przedsiębiorstwo),إسبلبوند إنترتنمنت,آي أو إس,IOS (Betriebssystem),IOS (Apple)",,,,,,,,,,,,,,,,,,,,,,,,,,,Airline_Tycoon,,,Q408798,Airline_Tycoon
,Airlines (video game),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Airlines_(video_game),,,Q4698794,Airlines_(video_game)
,Airport Tycoon,,,,,"TalonSoft,List of Global Star Software games",,,,,,,,,,,,,,,,,,,,,,,,,,,Airport_Tycoon,,,Q842048,Airport_Tycoon
,Aksharit,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,Aksharit,,,,Aksharit
,Al-Qadim,1992,,"Jeff Grubb,جيف غراب,Грабб, Джефф",,"TSR, Inc.,Tactical Studies Rules,TSR (entreprise),TSR (ゲーム出版社),TSR (公司)",,,,,,,,,,,,,,,,,,,,,,,,,,,Al-Qadim,,,Q2829261,Al-Qadim
,Aladdin's Dragons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aladdin's_Dragons,,,Q4705481,Aladdin's_Dragons
,Alara block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alara_block,,,,Alara_block
,Alaska (solitaire),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alaska_(solitaire),,,,Alaska_(solitaire)
